Experiment,Range,Pass,Pedigree,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm)
Release_Obs,5,3,GEMN-0178,1552,1570,305,109
Release_Obs,5,4,GEMN-0272,1501,1476,287,97
Release_Obs,5,5,PH05F,1423,1423,251,76
Release_Obs,5,6,GEMN-0287,1624,1602,312,119
Release_Obs,5,7,GEMN-0309,1476,1476,259,94
Release_Obs,5,8,GEMN-0310,1570,1586,310,160
Release_Obs,5,9,GEMN-0317,1423,1449,274,107
Release_Obs,5,10,GEMN-0318,1423,1449,282,99
Release_Obs,5,11,PH24E,1396,1423,234,104
Release_Obs,5,12,GEMN-0319,1552,1570,267,107
Release_Obs,5,13,GEMN-0325,1449,1449,267,89
Release_Obs,5,14,GEMN-0337,1586,1570,302,127
Release_Obs,5,15,GEMN-0342,1681,1651,244,94
Release_Obs,5,16,GEMN-0343,1527,1552,262,112
Release_Obs,5,17,GEMS-0293,1681,1710,244,124
Release_Obs,5,18,GEMS-0298,1423,1423,274,86
Release_Obs,6,3,GEMS-0322,1552,1570,211,71
Release_Obs,6,4,GEMS-0321,1651,1710,292,119
Release_Obs,6,5,GEMS-0320,1681,1710,262,135
Release_Obs,6,6,GEMS-0316,1369,1346,218,61
Release_Obs,6,7,GEMS-0315,1449,1476,229,66
Release_Obs,6,8,GEMS-0314,1449,1423,274,104
Release_Obs,6,9,GEMS-0313,1423,1449,249,79
Release_Obs,6,10,GEMS-0312,1570,1570,305,119
Release_Obs,6,11,01INL1,1449,1476,218,58
Release_Obs,6,12,GEMS-0311,1651,1710,279,114
Release_Obs,6,13,GEMS-0308,1476,1476,236,84
Release_Obs,6,14,GEMS-0307,1552,1570,226,76
Release_Obs,6,15,GEMS-0306,1449,1476,249,81
Release_Obs,6,16,MBWZ,1527,1570,244,91
Release_Obs,6,17,GEMS-0304,1423,1396,188,71
Release_Obs,6,18,GEMS-0303,1449,1423,254,69
Release_Obs,7,3,GEMS-0323,1423,1449,239,76
Release_Obs,7,4,90DJD28,1423,1449,269,86
Release_Obs,7,5,GEMS-0324,1476,1501,264,89
Release_Obs,7,6,GEMS-0327,1346,1396,236,66
Release_Obs,7,7,GEMS-0328,1423,1423,236,69
Release_Obs,7,8,GEMS-0329,1476,1501,287,112
Release_Obs,7,9,GEMS-0338,1570,1552,262,97
Release_Obs,7,10,GEMS-0339,1602,1624,246,91
Release_Obs,7,11,GEMS-0340,1476,1501,269,109
Release_Obs,7,12,GEMS-0341,1369,1369,221,74
Release_Obs,7,13,GEMS-0324,1476,1501,262,81
Release_Obs,7,14,GEMS-0314,1423,1423,284,91
Release_Obs,7,15,PH24E,1423,1449,244,86
Release_Obs,7,16,GEMS-0329,1476,1501,279,94
Release_Obs,7,17,GEMS-0313,1476,1501,249,89
Release_Obs,7,18,GEMS-0341,1369,1369,216,74
Release_Obs,8,3,GEMS-0316,1369,1346,234,76
Release_Obs,8,4,GEMS-0315,1423,1449,239,64
Release_Obs,8,5,GEMS-0298,1423,1449,264,74
Release_Obs,8,6,MBWZ,1476,1527,246,76
Release_Obs,8,7,GEMS-0321,1624,1710,284,137
Release_Obs,8,8,GEMN-0310,1586,1586,284,132
Release_Obs,8,9,GEMS-0340,1476,1501,269,91
Release_Obs,8,10,GEMN-0272,1527,1527,290,94
Release_Obs,8,11,GEMS-0311,1651,1710,300,124
Release_Obs,8,12,GEMN-0319,1527,1552,254,124
Release_Obs,8,13,GEMN-0317,1423,1449,264,97
Release_Obs,8,14,GEMS-0293,1651,1602,244,124
Release_Obs,8,15,GEMN-0318,1423,1449,267,89
Release_Obs,8,16,GEMS-0327,1369,1369,231,64
Release_Obs,8,17,GEMN-0309,1396,1396,234,99
Release_Obs,8,18,01INL1,1423,1423,216,56
Release_Obs,9,3,GEMN-0342,1651,1624,236,107
Release_Obs,9,4,GEMS-0320,1651,1710,267,122
Release_Obs,9,5,PH05F,1449,1476,251,84
Release_Obs,9,6,GEMS-0339,1501,1552,236,84
Release_Obs,9,7,GEMN-0287,1681,1735,320,140
Release_Obs,9,8,GEMS-0312,1586,1602,290,127
Release_Obs,9,9,GEMS-0338,1602,1602,274,99
Release_Obs,9,10,GEMN-0343,1552,1552,277,84
Release_Obs,9,11,GEMN-0337,1586,1570,284,122
Release_Obs,9,12,GEMN-0325,1449,1476,262,109
Release_Obs,9,13,GEMS-0304,1369,1369,175,64
Release_Obs,9,14,GEMS-0322,1501,1527,241,99
Release_Obs,9,15,GEMS-0328,1396,1396,234,66
Release_Obs,9,16,GEMS-0308,1449,1476,254,99
Release_Obs,9,17,GEMS-0306,1476,1501,259,97
Release_Obs,9,18,GEMS-0307,1552,1552,229,97
Release_Obs,10,15,90DJD28,1449,1449,262,84
Release_Obs,10,16,GEMS-0303,1449,1449,251,69
Release_Obs,10,17,GEMN-0178,1570,1586,282,127
Release_Obs,10,18,GEMS-0323,1423,1449,246,89
BcObs_CL,13,3,01DHD10//(GEMS-0115/MDS3501-B)/GEMS-0323,1322,1346,249,89
BcObs_CL,13,4,WDHQ11//(GEMS-0115/MDS3501-B)/GEMS-0323,1369,1369,307,122
BcObs_CL,13,5,90DJD28//(GEMS-0115/MDS3501-B)/GEMS-0323,1423,1396,290,97
BcObs_CL,13,6,01DIB2//(GEMS-0115/MDS3501-B)/GEMS-0323,1297,1272,284,102
BcObs_CL,13,7,PH080//(GEMS-0115/MDS3501-B)/GEMS-0323,1449,1449,318,119
BcObs_CL,13,8,01DIB2//(GEMS-0115/MDS3501-B)/GEMS-0327,1322,1297,264,104
BcObs_CL,13,9,PH080//(GEMS-0115/MDS3501-B)/GEMS-0327,1322,1322,284,102
BcObs_CL,13,10,PH09B//(GEMS-0115/MDS3501-B)/GEMS-0327,1369,1423,302,140
BcObs_CL,13,11,LH239//(GEMS-0115/MDS3501-B)/GEMS-0327,1423,1423,315,102
BcObs_CL,13,12,17DHD16//(GEMS-0115/MDS3501-B)/GEMS-0329,1272,1297,269,97
BcObs_CL,13,13,PH09B//(GEMS-0115/MDS3501-B)/GEMS-0329,1369,1423,292,86
BcObs_CL,13,14,LH239//(GEMS-0115/MDS3501-B)/GEMS-0329,1369,1369,320,114
BcObs_CL,13,15,17QFB1//(GEMS-0115/MDS3501-B)/GEMS-0329,1369,1369,305,99
BcObs_CL,13,16,PH0B4//(GEMS-0115/MDS3501-B)/GEMS-0329,1396,1369,302,104
BcObs_CL,13,17,17QFB1//(GEMS-0115/MDS3501-B)/GEMS-0334,1369,1369,284,104
BcObs_CL,13,18,PH0B4//(GEMS-0115/MDS3501-B)/GEMS-0334,1396,1423,310,140
BcObs_CL,14,3,PH3DT//(GEMS-0147/MDS3501-B)/GEMS-0336,1476,1501,269,109
BcObs_CL,14,4,86AQV2//(GEMS-0147/MDS3501-B)/GEMS-0336,1245,1297,272,107
BcObs_CL,14,5,PH3DT//(GEMS-0147/MDS3501-B)/GEMS-0323,1423,1423,279,104
BcObs_CL,14,6,PH1EM//(GEMS-0147/MDS3501-B)/GEMS-0323,1369,1369,295,102
BcObs_CL,14,7,PH25A//(GEMS-0147/MDS3501-B)/GEMS-0323,1369,1396,290,107
BcObs_CL,14,8,PH3DT//(GEMS-0147/MDS3501-B)/GEMS-0323,1423,1449,292,91
BcObs_CL,14,9,3AZA1//(GEMS-0147/MDS3501-B)/GEMS-0323,1297,1272,300,119
BcObs_CL,14,10,PH25A//(GEMS-0115/MDS3501-B)/GEMS-0335,1423,1449,323,130
BcObs_CL,14,11,PH3DT//(GEMS-0115/MDS3501-B)/GEMS-0335,1423,1449,297,112
BcObs_CL,14,12,3AZA1//(GEMS-0115/MDS3501-B)/GEMS-0335,1297,1272,284,107
BcObs_CL,14,13,PH05F//(GEMS-0115/MDS3501-B)/GEMS-0335,1423,1449,310,99
BcObs_CL,14,14,PH38D//(GEMS-0115/MDS3501-B)/GEMS-0335,1396,1423,312,119
